user_id,name,affiliation,prev_rank,p_wins,p_win_pct,season_hits,week0_rank,week1_hits,week1_rate,week1_rank,week2_hits,week2_rate,week2_rank,week3_hits,week3_rate,week3_rank,week4_hits,week4_rate,week4_rank,week5_hits,week5_rate,week5_rank,week6_hits,week6_rate,week6_rank,week7_hits,week7_rate,week7_rank,week8_hits,week8_rate,week8_rank,week9_hits,week9_rate,week9_rank,week10_hits,week10_rate,week10_rank,week11_hits,week11_rate,week11_rank,week12_hits,week12_rate,week12_rank,week13_hits,week13_rate,week13_rank,week14_hits,week14_rate,week14_rank,week15_hits,week15_rate,week15_rank,week16_hits,week16_rate,week16_rank,week17_hits,week17_rate,week17_rank
137,Boomer Esiason,CBS,1,0,0,164,135.0,10,15.0,57.0,8,13.5,53.0,10,13.666666666666668,77.0,6,12.25,98.0,11,13.0,96.0,11,15.666666666666668,62.0,10,15.214285714285715,54.0,9,14.1875,89.0,10,14.222222222222221,48.0,9,14.2,40.0,9,13.681818181818182,37.0,8,13.125,101.0,8,12.576923076923077,120.0,12,14.678571428571429,76.0,12,16.766666666666666,42.0,10,15.78125,47.0,11,15.323529411764707,62.0
89,Michael Fabiano,NFL,1,0,0,170,135.0,10,15.0,57.0,8,13.5,53.0,12,15.0,25.0,7,14.125,29.0,12,14.4,47.0,11,16.5,31.0,11,16.07142857142857,23.0,11,16.125,8.0,8,14.5,36.0,9,13.45,72.0,7,12.818181818181818,80.0,11,13.875,78.0,9,14.846153846153847,82.0,11,14.892857142857142,63.0,13,17.0,40.0,9,15.96875,38.0,11,15.0,75.0
90,Yahoo Users,Yahoo,1,0,0,173,135.0,10,15.0,57.0,7,12.75,73.0,11,13.666666666666668,77.0,8,14.0,34.0,13,15.4,15.0,11,17.0,8.0,11,16.07142857142857,23.0,9,15.0,45.0,9,13.944444444444445,58.0,10,14.45,28.0,8,13.863636363636363,26.0,12,14.958333333333332,33.0,9,15.423076923076923,56.0,12,15.5,37.0,13,17.6,15.0,7,15.0,83.0,13,15.088235294117647,71.0
92,Don Banks,Patriots.com,1,0,0,171,135.0,10,15.0,57.0,10,15.0,16.0,10,15.0,25.0,6,12.5,92.0,13,14.4,47.0,10,16.416666666666668,35.0,10,14.928571428571429,66.0,10,14.9375,47.0,11,15.5,9.0,9,14.95,14.0,9,13.90909090909091,23.0,12,15.5,9.0,10,16.0,27.0,8,13.928571428571429,102.0,12,15.0,103.0,9,15.46875,65.0,12,15.529411764705882,54.0
37,Kurt Warner,NFL,1,0,0,162,135.0,10,15.0,57.0,9,14.25,39.0,8,13.0,92.0,7,11.75,108.0,12,14.1,61.0,10,15.666666666666668,62.0,10,14.714285714285715,70.0,10,14.75,54.0,8,13.666666666666668,71.0,10,13.7,61.0,7,13.09090909090909,67.0,10,13.125,101.0,9,14.115384615384615,104.0,10,14.142857142857142,96.0,12,15.733333333333334,83.0,10,15.75,49.0,10,14.764705882352942,88.0
38,Keyshawn Johnson,ESPN,1,0,0,162,135.0,10,15.0,57.0,5,11.25,110.0,9,11.0,122.0,6,11.25,114.0,13,13.8,71.0,9,15.333333333333332,77.0,11,14.5,77.0,9,14.5,66.0,11,14.61111111111111,29.0,10,15.15,10.0,8,13.59090909090909,41.0,10,13.625,92.0,6,12.5,122.0,10,12.535714285714285,123.0,11,15.1,99.0,11,15.65625,55.0,13,16.764705882352942,3.0
21,Ben Stockwell,ProFootballFocus,1,0,0,172,135.0,10,15.0,57.0,6,12.0,96.0,12,13.666666666666668,77.0,3,11.375,112.0,10,10.6,122.0,11,14.833333333333332,90.0,11,15.5,46.0,13,16.75,3.0,11,16.833333333333332,2.0,10,15.35,5.0,8,13.772727272727273,34.0,12,14.875,38.0,9,15.346153846153847,62.0,12,15.428571428571429,44.0,13,17.53333333333333,22.0,9,16.0,37.0,12,15.558823529411764,53.0
160,Numberfire,NumberFire,1,0,0,172,135.0,10,15.0,57.0,9,14.25,39.0,10,14.333333333333332,48.0,6,12.375,96.0,13,14.3,54.0,11,16.916666666666668,13.0,11,16.0,27.0,10,15.5,22.0,9,14.444444444444445,37.0,10,14.45,28.0,9,14.40909090909091,6.0,11,14.958333333333332,33.0,10,15.461538461538462,55.0,10,14.964285714285715,62.0,12,16.03333333333333,73.0,9,15.5,64.0,12,15.558823529411764,53.0
136,Bill Cowher,CBS,1,0,0,162,135.0,10,15.0,57.0,7,12.75,73.0,11,13.666666666666668,77.0,8,14.0,34.0,12,14.8,35.0,7,14.083333333333332,107.0,11,13.714285714285715,97.0,9,14.6875,58.0,10,14.222222222222221,48.0,9,14.2,40.0,6,12.045454545454547,105.0,8,11.5,122.0,9,13.0,118.0,9,13.5,114.0,13,15.633333333333333,86.0,11,16.6875,15.0,12,16.264705882352942,14.0
106,Pete Prisco,CBS,1,0,0,174,135.0,10,15.0,57.0,9,14.25,39.0,13,16.333333333333332,4.0,9,16.125,3.0,12,15.8,6.0,7,14.5,101.0,11,14.071428571428571,90.0,10,15.5625,17.0,9,14.5,36.0,8,13.4,77.0,8,12.818181818181818,80.0,13,15.458333333333332,11.0,10,16.46153846153846,12.0,10,14.964285714285715,62.0,12,16.03333333333333,73.0,12,17.09375,7.0,11,16.61764705882353,7.0
